Unnamed: 0,model,price_label
1,f-150 xlt,5
2,f150 super cab xl pickup 4d,2
3,f150 supercrew cab xlt,5
4,f150 regular cab xl pickup,2
5,f150 supercrew cab xl,2
6,f150 lariat supercrew 4x4,10
7,f150,-1
8,f-150,-1
9,f150 regular cab xl,2
10,f150 xl,2
11,f150 lariat fx4 4x4,10
12,f150 4x4 xlt,5
13,f-150 regular cab short bed,-1
14,f150 xlt,5
15,f150 super cab xlt pickup,5
16,f-150 supercab xlt,5
17,f150 platinum 4x4,15
18,f150 xlt 4x4,5
19,f-150 xl supercrew 6.5-ft. bed 4wd,2
20,f-150 xl supercrew 5.5-ft. bed 4wd,2
21,f150 super cab lariat,10
22,f150 fx4 4x4,8
23,f150 lariat 4wd,10
24,f150 xlt 4wd,5
25,f150 4x4 lariat,10
26,f150 lariat,10
27,f150 xlt 4wd f-150 4x4,5
28,f150 4x4 lariat 4wd f-150,10
29,f150 stx,3
30,f150 stx 4wd,3
31,f150 lariat 4wd f-150,10
32,f-150 lariat,10
33,f-150 lariat 4wd,10
34,f-150 platinum,15
35,f-150 limited,17
36,f-150 supercrew limited,17
37,f150 supercrew cab lariat,10
38,f-150 xlt 4x2 4dr supercrew,5
39,f-150 raptor,18
40,f-150 xlt supercrew,5
41,f-150 fx4,8
42,f-150 xl 4x4,2
43,f150 supercrew cab fx4,8
44,f-150 xl,2
45,f-150 xlt crew 4x4,5
46,f-150 larait 4 door,-1
47,f-150 xlt automatic,5
48,f150 4x4,-1
49,f150 super cab,-1
50,f150 supercrew cab,-1
51,f-150 limited 4x4,17
52,f-150 king ranch 4x4,14
53,f-150 stx,3
54,f-150 king ranch,14
55,f150 lariat ecoboost 4wd,10
56,f-150 lariat automatic,10
57,f-150 xl automatic,2
58,f150 supercrew 4wd,-1
59,f150 supercrew 4x4,-1
60,f150 supercrew cab fx2,7
61,f150 fx4,8
62,f-150 xlt 4wd supercrew 5.5,5
63,f150 raptor,18
64,f-150 super crew,-1
65,f150 super cab 4x4,-1
66,f-150 f150,-1
67,f-150 4wd supercrew 145 pla,-1
68,f150 supercrew,-1
69,f-150 limited 4wd supercrew,17
70,f-150 lariat crew 5.5ft bed,10
71,f-150 lifted lariat supercrew 5.0 v8,10
72,f-150 xlt supercrew ecoboost 3.5l premium,5
73,f-150 v8 supercrew,-1
74,f-150 2wd supercrew 145 fx2,7
75,f-150 lariat 4wd supercrew,10
76,f150 king ranch 4x4,14
77,f-150 4wd supercrew 145 svt,-1
78,f-150 xlt 2wd supercrew 5.5,5
79,f-150 raptor 4wd supercrew,18
80,f-150 platinum 4wd supercre,15
81,f-150 4wd supercrew 145 xlt,5
82,f-150 xl 2wd supercrew 5.5,2
83,f150 fx2,7
84,f-150 lariat 4x4,10
85,f-150 xlt fx4,5
86,f-150 xlt supercrew eco boost 3.5l,5
87,f-150 xlt sport supercrew,5
88,f150 regular cab xlt pickup,5
89,f-150 xlt 4x4,5
90,f-150 fx2,7
91,f-150 fx4 lifted crew ecoboost 3.5liter,8
92,f-150 svt raptor,18
93,f-150 platinum crew ecoboost 3.5l,15
94,f-150 lifted supercrew xlt 4x4 v6 twin turbo financing,5
95,f-150 xlt lariet,5
96,f150 - triton v8,-1
97,f150 platinum,15
98,f150 raptor 6.2l 4x4 crew,18
99,f-150 xlt 4wd supercrew,5
100,f-150 extended cab,-1
101,f-150 supercrew xlt crew,5
102,f-150 4x4 3.5 ecoboost,-1
103,f-150 crew 4x4 5.0 v8,-1
104,f-150 4x4 5.0 v8,-1
105,f-150 tremor fx4 regular,12
106,f-150 4x4 super crew,-1
107,f-150 4wd supercrew,-1
108,f-150 xl supercrew 4x4,2
109,f150xl,2
110,f150 sxt,1
111,f150 supercrew cab king,-1
112,f150 super crew 4x4 xlt,5
113,f150 xlt crew cab 4x4,5
114,f-150 xlt rwd,5
115,f-150 supercrew xlt 4x4,5
116,f-150 xl 2dr standard cab,2
117,"f-150 f150 xlt 3.5 ecoboost,v6 4x4 !! lifted!! f150",5
118,"f-150 f150 lariat sport 4x4, lifted on 35s",10
119,f-150 4x4 5.0l v8 360hp 380ft. lbs. torque super crew xlt one owner,5
120,f-150 fx4 super crew,8
121,f-150 xlt 4dr supercrew xlt,5
122,f150 8ft,-1
123,f150 extended cab,-1
124,f150 super cab four-door,-1
125,f-150 stx 4x4,3
126,f150 fx4 supercrew 4x4,8
127,f150 raptor 4x4,18
128,f150 regular cab,-1
129,f-150 lariat supercrew 5.,10
130,f150 super crew,-1
131,f-150 king ranch supercrew,14
132,f-150 supercrew cab xlt,5
133,f-150 super cab xlt,5
134,f-150 xlt supercrew 5.5',5
135,f-150 super cab xl,2
136,f-150 shelby supersnake,-1
137,f-150 ecoboost,-1
138,f150 supercrew cab limited,17
139,f-150 truck,-1
140,f-150 platinum 4x4,15
141,f150 super cab xlt,5
142,f150 xlt triton,5
143,f-150 only 84k miles,-1
144,f-150 xl standard cab,2
145,f-150 xl crew cab,2
